log_id,noted_date,temp,out_in,noted_time
195862_437cc596,8/12/2018,29,In,8:08
195859_401ac233,8/12/2018,40,Out,8:07
195858_e99304af,8/12/2018,40,Out,8:07
195855_0cae6cd7,8/12/2018,29,In,8:06
195854_31c44924,8/12/2018,29,In,8:06
195850_ac3cefe9,8/12/2018,40,Out,8:05
195851_e5ff2539,8/12/2018,40,Out,8:05
195843_94e9ddeb,8/12/2018,29,In,8:04
195841_4309bd29,8/12/2018,41,Out,8:04
195839_47cb936e,8/12/2018,29,In,8:04
195835_c9e1c966,8/12/2018,41,Out,8:03
195832_c1f30f3b,8/12/2018,29,In,8:03
195827_415cb68d,8/12/2018,29,In,8:02
195825_8b52d359,8/12/2018,29,In,8:01
195819_aeb37aba,8/12/2018,29,In,7:58
195814_cb52225d,8/12/2018,29,In,7:56
195808_350db3da,8/12/2018,40,Out,7:56
195809_1a7adc53,8/12/2018,29,In,7:56
195804_2def877a,8/12/2018,40,Out,7:55
195802_113aa722,8/12/2018,29,In,7:54
195799_9326dd39,8/12/2018,29,In,7:52
195796_19025bcd,8/12/2018,29,In,7:52
195797_2c2a633b,8/12/2018,41,Out,7:52
195793_f138a506,8/12/2018,41,Out,7:51
195791_42832358,8/12/2018,29,In,7:51
195789_e73d0273,8/12/2018,29,In,7:50
195786_0e1a8c21,8/12/2018,40,Out,7:48
195784_be4e2149,8/12/2018,40,Out,7:47
195781_d191f832,8/12/2018,29,In,7:46
195778_33c5ac50,8/12/2018,29,In,7:44
195775_4b268ee4,8/12/2018,29,In,7:44
195771_5e45289d,8/12/2018,29,In,7:41
195757_f68963a1,8/12/2018,29,In,7:34
195755_49c6143b,8/12/2018,29,In,7:33
195754_a4798307,8/12/2018,29,In,7:31
195753_d577e2a7,8/12/2018,29,In,7:30
195747_0e2463c8,8/12/2018,29,In,7:28
195748_ef018a38,8/12/2018,29,In,7:27
195746_2bf6f84c,8/12/2018,39,Out,7:27
195743_3490989d,8/12/2018,29,In,7:25
195741_1ee117ce,8/12/2018,29,In,7:22
195737_9b7cf031,8/12/2018,29,In,7:18
195735_db7981b8,8/12/2018,29,In,7:17
195734_4f2562c2,8/12/2018,39,Out,7:17
195730_7a1e694e,8/12/2018,38,Out,7:15
195721_7eaf3460,8/12/2018,39,Out,7:08
195720_6d45515d,8/12/2018,29,In,7:06
195719_49a74545,8/12/2018,40,Out,7:06
195718_71c2dad3,8/12/2018,29,In,7:03
195712_33302c75,8/12/2018,29,In,6:57
195710_02625a80,8/12/2018,39,Out,6:57
195705_d12a0132,8/12/2018,39,Out,6:56
195699_ae35986e,8/12/2018,29,In,6:53
195700_9f91987a,8/12/2018,29,In,6:53
195696_ab5dac1e,8/12/2018,29,In,6:52
195695_ad7c7502,8/12/2018,39,Out,6:52
195689_2122bb37,8/12/2018,29,In,6:51
195691_e741f787,8/12/2018,39,Out,6:51
195681_bd6505a1,8/12/2018,29,In,6:50
195676_e12ff8ac,8/12/2018,39,Out,6:47
195675_881ee565,8/12/2018,29,In,6:47
195671_e74cdb3b,8/12/2018,39,Out,6:44
195666_5cdf88fa,8/12/2018,39,Out,6:43
195664_5c6077e7,8/12/2018,29,In,6:42
195662_0427381e,8/12/2018,29,In,6:41
195658_8fc4ba31,8/12/2018,29,In,6:39
195657_ce71fe88,8/12/2018,29,In,6:39
195653_c4fb531f,8/12/2018,29,In,6:37
195654_646ef3ee,8/12/2018,29,In,6:37
195641_5f06db35,8/12/2018,29,In,6:35
195638_3041af8f,8/12/2018,29,In,6:33
195631_0521288e,8/12/2018,39,Out,6:32
195629_fe2b9da4,8/12/2018,39,Out,6:31
195624_895f8bec,8/12/2018,29,In,6:30
195622_231c2bdf,8/12/2018,29,In,6:29
195614_1148cf83,8/12/2018,29,In,6:25
195605_b53f739a,8/12/2018,29,In,6:23
195601_dd0c7ab3,8/12/2018,29,In,6:22
195598_ad3240b5,8/12/2018,29,In,6:21
195593_e192d0f3,8/12/2018,29,In,6:21
195589_ce331dcf,8/12/2018,29,In,6:19
195583_b22df853,8/12/2018,29,In,6:17
195581_f56cee93,8/12/2018,29,In,6:16
195578_2d6785ee,8/12/2018,29,In,6:15
195574_7d6d296e,8/12/2018,39,Out,6:14
195573_717824ba,8/12/2018,29,In,6:14
195567_c41391e4,8/12/2018,29,In,6:11
195564_a98743a4,8/12/2018,29,In,6:11
195560_e7b66ccd,8/12/2018,39,Out,6:09
195561_012fc08b,8/12/2018,29,In,6:09
195555_0feeb1cb,8/12/2018,29,In,6:07
195549_7720b115,8/12/2018,29,In,6:06
195546_8553cd41,8/12/2018,29,In,6:05
195538_dd2918d1,8/12/2018,38,Out,6:02
195532_3f1b5fb1,8/12/2018,39,Out,6:01
195531_641454b1,8/12/2018,29,In,6:01
195525_4c6f82e7,8/12/2018,39,Out,5:59
195524_6d22cf81,8/12/2018,29,In,5:59
195523_ff5a3f2d,8/12/2018,39,Out,5:59
195520_35e595e6,8/12/2018,29,In,5:59
195515_446a24b8,8/12/2018,38,Out,5:57
195507_c69cd4c0,8/12/2018,39,Out,5:55
195508_c28f66e6,8/12/2018,29,In,5:55
195469_b1fcae4e,8/12/2018,30,In,5:43
195467_bdc3b8d2,8/12/2018,30,In,5:43
195462_d0f5705e,8/12/2018,29,In,5:41
195459_cabba896,8/12/2018,29,In,5:40
195458_77a9ad02,8/12/2018,38,Out,5:39
195447_07d602b5,8/12/2018,30,In,5:37
195444_84ddce5e,8/12/2018,29,In,5:35
195440_f7e2c6ed,8/12/2018,30,In,5:35
195435_2563753c,8/12/2018,30,In,5:33
195434_3dd6ba8b,8/12/2018,29,In,5:31
195427_8580654c,8/12/2018,29,In,5:29
195428_13e2d9bd,8/12/2018,29,In,5:29
195418_477bec87,8/12/2018,38,Out,5:25
195417_716b1860,8/12/2018,38,Out,5:25
195416_77e1755c,8/12/2018,29,In,5:25
195415_66478123,8/12/2018,29,In,5:25
195412_c0870399,8/12/2018,38,Out,5:23
195411_5c6c829b,8/12/2018,38,Out,5:23
195410_c6095322,8/12/2018,29,In,5:23
195409_1b2294e4,8/12/2018,29,In,5:23
195402_255a505f,8/12/2018,38,Out,5:21
195401_72c4932f,8/12/2018,38,Out,5:21
195400_4f81abe4,8/12/2018,29,In,5:21
195399_57296b5c,8/12/2018,29,In,5:21
195394_a8647158,8/12/2018,29,In,5:20
195392_366330b0,8/12/2018,29,In,5:19
195391_895b9428,8/12/2018,29,In,5:19
195387_62a2fc50,8/12/2018,29,In,5:17
195385_bc2cd923,8/12/2018,29,In,5:16
195382_82800a71,8/12/2018,29,In,5:15
195377_975bba5a,8/12/2018,38,Out,5:13
195375_102599b8,8/12/2018,29,In,5:13
195376_fe5fe606,8/12/2018,38,Out,5:13
195369_d66fedef,8/12/2018,38,Out,5:12
195368_5827d784,8/12/2018,29,In,5:12
195367_81005fac,8/12/2018,38,Out,5:11
195362_487245c1,8/12/2018,38,Out,5:09
195361_5e231b52,8/12/2018,29,In,5:09
195357_6d3ea324,8/12/2018,38,Out,5:08
195356_cc50e6c4,8/12/2018,29,In,5:08
195354_4fc4d09d,8/12/2018,38,Out,5:07
195352_5eafa76a,8/12/2018,29,In,5:07
195342_3485727d,8/12/2018,29,In,5:05
195338_40c6f6c7,8/12/2018,29,In,5:03
195332_24f657f4,8/12/2018,37,Out,5:01
195331_5e65720d,8/12/2018,29,In,5:01
195326_cbc29b3b,8/12/2018,38,Out,4:59
195315_38ef5b29,8/12/2018,29,In,4:55
195314_4f6d4d40,8/12/2018,29,In,4:55
195307_0d28e9ba,8/12/2018,37,Out,4:54
195306_f4b13bed,8/12/2018,37,Out,4:53
195305_08839f90,8/12/2018,29,In,4:53
195303_e59befe1,8/12/2018,29,In,4:53
195287_6cc0f8ba,8/12/2018,29,In,4:49
195286_6d1b0ac4,8/12/2018,29,In,4:49
195279_786b27a2,8/12/2018,29,In,4:47
195278_f559d8fa,8/12/2018,29,In,4:47
195263_2895b558,8/12/2018,29,In,4:43
195262_fa4c706c,8/12/2018,29,In,4:43
195253_839bbc1e,8/12/2018,29,In,4:39
195252_7854256f,8/12/2018,29,In,4:39
195247_c6a62b1f,8/12/2018,30,In,4:39
195246_404b296d,8/12/2018,30,In,4:39
195239_276850e2,8/12/2018,37,Out,4:36
195238_4aaec119,8/12/2018,37,Out,4:35
195237_541c156e,8/12/2018,29,In,4:35
195236_4b7ee5f0,8/12/2018,29,In,4:35
195232_cd555655,8/12/2018,37,Out,4:34
195233_17d291b5,8/12/2018,37,Out,4:33
195231_b7d8ce75,8/12/2018,29,In,4:33
195230_d4a4c157,8/12/2018,29,In,4:33
195219_2cfdb292,8/12/2018,37,Out,4:30
195218_5f5337cd,8/12/2018,37,Out,4:29
195193_b290b1e4,8/12/2018,37,Out,4:23
195192_bc83082e,8/12/2018,37,Out,4:23
195191_3c3c8d59,8/12/2018,29,In,4:23
195190_0cf4c084,8/12/2018,29,In,4:23
195185_40cec82c,8/12/2018,29,In,4:21
195184_338435ef,8/12/2018,29,In,4:21
195177_d33112e6,8/12/2018,36,Out,4:20
195176_b9e9dbb5,8/12/2018,36,Out,4:19
195175_07586658,8/12/2018,29,In,4:19
195174_72be5b21,8/12/2018,29,In,4:19
195167_e8fa1d81,8/12/2018,36,Out,4:18
195166_abde5476,8/12/2018,36,Out,4:17
195165_99840a1c,8/12/2018,29,In,4:17
195164_4ff2549b,8/12/2018,29,In,4:17
195158_b42b3e8b,8/12/2018,37,Out,4:16
195159_f47207dc,8/12/2018,37,Out,4:15
195153_1fbbf291,8/12/2018,37,Out,4:14
195152_0912cefe,8/12/2018,37,Out,4:14
195146_7b25971b,8/12/2018,29,In,4:11
195147_1be17b84,8/12/2018,29,In,4:11
195139_3ae05a53,8/12/2018,29,In,4:09
195138_4c528c59,8/12/2018,29,In,4:09
195132_88aa5b76,8/12/2018,36,Out,4:08
195133_2e87c162,8/12/2018,36,Out,4:08
195131_f2bc3d99,8/12/2018,29,In,4:07
195130_e2128775,8/12/2018,29,In,4:07
195119_950652c4,8/12/2018,36,Out,4:04
195118_818af56d,8/12/2018,36,Out,4:04
195117_0310e550,8/12/2018,29,In,4:03
195116_d31657b9,8/12/2018,29,In,4:03
195114_0302145d,8/12/2018,30,In,4:03
195115_7de36953,8/12/2018,30,In,4:03
195109_8368b845,8/12/2018,36,Out,4:02
195108_1520c580,8/12/2018,36,Out,4:02
195107_e9bd831a,8/12/2018,29,In,4:01
195106_1161a490,8/12/2018,29,In,4:01
195099_94fff493,8/12/2018,36,Out,4:00
195098_6d37924f,8/12/2018,36,Out,4:00
195097_7fb4f591,8/12/2018,29,In,3:59
195096_206056de,8/12/2018,29,In,3:59
195091_b1536e7c,8/12/2018,30,In,3:59
195090_a0dcc099,8/12/2018,30,In,3:59
195088_79fc3ddd,8/12/2018,36,Out,3:58
195089_c24769a4,8/12/2018,36,Out,3:58
195087_2785ae71,8/12/2018,29,In,3:57
195086_09d4d68c,8/12/2018,29,In,3:57
195083_ea67bfee,8/12/2018,29,In,3:55
195082_07be8615,8/12/2018,29,In,3:55
195076_e7d5b616,8/12/2018,36,Out,3:54
195077_fe2b50d1,8/12/2018,36,Out,3:54
195075_9de50453,8/12/2018,29,In,3:53
195074_8841b10a,8/12/2018,29,In,3:53
195071_7362ce83,8/12/2018,30,In,3:53
195069_1cc7bf5d,8/12/2018,30,In,3:53
195066_732e758f,8/12/2018,29,In,3:51
195067_02305247,8/12/2018,29,In,3:51
195063_41d106fd,8/12/2018,35,Out,3:50
195062_bd5ad799,8/12/2018,35,Out,3:50
195060_d29a5211,8/12/2018,29,In,3:49
195061_ab70c289,8/12/2018,29,In,3:49
195037_9456fdc0,8/12/2018,29,In,3:41
195036_d688778a,8/12/2018,29,In,3:41
195032_f565a419,8/12/2018,29,In,3:39
195033_f6909e99,8/12/2018,29,In,3:39
195029_0c268f3d,8/12/2018,36,Out,3:38
195028_c20924a7,8/12/2018,36,Out,3:38
195019_40f57304,8/12/2018,36,Out,3:36
195018_23817b7a,8/12/2018,36,Out,3:36
195016_4736aa06,8/12/2018,29,In,3:35
195017_d9b81aa4,8/12/2018,29,In,3:35
195007_a3107e67,8/12/2018,29,In,3:31
195006_f32da630,8/12/2018,29,In,3:31
195001_ad34e638,8/12/2018,36,Out,3:30
195000_05234fe9,8/12/2018,36,Out,3:30
194996_10f4893c,8/12/2018,29,In,3:27
194997_1464bf18,8/12/2018,29,In,3:27
194989_ff104a76,8/12/2018,36,Out,3:24
194988_f315bb77,8/12/2018,36,Out,3:24
194985_0c242e58,8/12/2018,29,In,3:21
194984_39091438,8/12/2018,29,In,3:21
194978_5b05268d,8/12/2018,35,Out,3:20
194979_fcb58361,8/12/2018,35,Out,3:20
194976_f231959c,8/12/2018,29,In,3:19
194977_a9146e04,8/12/2018,29,In,3:19
194969_4fd09f62,8/12/2018,36,Out,3:18
194967_d389d9ec,8/12/2018,36,Out,3:18
194965_46a0dad3,8/12/2018,29,In,3:17
194964_d81d2efb,8/12/2018,29,In,3:17
194959_9da0f776,8/12/2018,29,In,3:15
194958_c13f3297,8/12/2018,29,In,3:15
194954_9a7e21d5,8/12/2018,36,Out,3:14
194955_e3ab639e,8/12/2018,36,Out,3:14
194950_55e01366,8/12/2018,29,In,3:11
194951_b4c6d07f,8/12/2018,29,In,3:11
194941_0dc703fc,8/12/2018,36,Out,3:08
194942_f328bbe1,8/12/2018,36,Out,3:08
194939_76c28cf6,8/12/2018,29,In,3:07
194938_0139eddc,8/12/2018,29,In,3:07
194935_f9bb5258,8/12/2018,35,Out,3:06
194934_f9b6583d,8/12/2018,35,Out,3:06
194932_5e4f94e1,8/12/2018,29,In,3:05
194933_32ff9e01,8/12/2018,29,In,3:05
194929_32b50cc7,8/12/2018,35,Out,3:04
194928_dc455534,8/12/2018,35,Out,3:04
194923_77cecea5,8/12/2018,35,Out,3:00
194922_6b2693d7,8/12/2018,35,Out,3:00
194919_9d554452,8/12/2018,29,In,2:59
194918_b4c3d084,8/12/2018,29,In,2:59
194917_4ac46cc0,8/12/2018,35,Out,2:56
194916_6e8c8785,8/12/2018,35,Out,2:56
194913_0d213bb7,8/12/2018,35,Out,2:52
194912_3eef1c8f,8/12/2018,35,Out,2:52
194911_7f8aa418,8/12/2018,29,In,2:51
194910_4048ba16,8/12/2018,29,In,2:51
194905_0dee4540,8/12/2018,36,Out,2:50
194903_7437576f,8/12/2018,36,Out,2:50
194901_6f57fc6f,8/12/2018,29,In,2:49
194900_458dc13d,8/12/2018,29,In,2:49
194895_7df55b11,8/12/2018,35,Out,2:48
194894_b5061323,8/12/2018,35,Out,2:48
194893_471c25a3,8/12/2018,29,In,2:47
194892_a320632f,8/12/2018,29,In,2:47
194886_8c307f40,8/12/2018,35,Out,2:46
194887_76cd2cc1,8/12/2018,35,Out,2:46
194876_dd947230,8/12/2018,35,Out,2:44
194877_a389efa8,8/12/2018,35,Out,2:44
194873_62ec65e1,8/12/2018,29,In,2:43
194872_b936cf73,8/12/2018,29,In,2:43
194868_89f4af30,8/12/2018,35,Out,2:42
194869_4103a2d9,8/12/2018,35,Out,2:42
194863_25e99ca4,8/12/2018,35,Out,2:40
194862_15a65b72,8/12/2018,35,Out,2:40
194861_d4ba58c5,8/12/2018,29,In,2:39
194860_1096f062,8/12/2018,29,In,2:39
194857_f3f2e348,8/12/2018,35,Out,2:38
194856_59363189,8/12/2018,35,Out,2:38
194854_a4d07ea7,8/12/2018,29,In,2:37
194855_5011284d,8/12/2018,29,In,2:37
194851_7b30319a,8/12/2018,34,Out,2:36
194850_62e01874,8/12/2018,34,Out,2:36
194848_3a7223be,8/12/2018,29,In,2:35
194849_0143353a,8/12/2018,29,In,2:35
194843_306a6680,8/12/2018,35,Out,2:34
194842_b864ffe8,8/12/2018,35,Out,2:34
194840_c3310ddf,8/12/2018,29,In,2:33
194841_64906bb9,8/12/2018,29,In,2:33
194839_1959c8b5,8/12/2018,35,Out,2:32
194838_35ed0127,8/12/2018,35,Out,2:32
194837_545ffae2,8/12/2018,29,In,2:31
194836_9b76a8f2,8/12/2018,29,In,2:31
194829_643f239d,8/12/2018,29,In,2:29
194828_8bc06df4,8/12/2018,29,In,2:29
194821_1e268d29,8/12/2018,35,Out,2:28
194820_3c2b7de0,8/12/2018,35,Out,2:28
194817_b7974218,8/12/2018,29,In,2:27
194816_de1b7ebb,8/12/2018,29,In,2:27
194806_314d3aaa,8/12/2018,29,In,2:23
194807_3f2e7e94,8/12/2018,29,In,2:23
194802_ff247ff6,8/12/2018,35,Out,2:22
194803_0f7eea10,8/12/2018,35,Out,2:22
194800_5e14c03d,8/12/2018,29,In,2:21
194801_243a5309,8/12/2018,29,In,2:21
194795_810d0ae7,8/12/2018,29,In,2:19
194794_e8205c52,8/12/2018,29,In,2:19
194791_9814792e,8/12/2018,29,In,2:15
194790_381b220a,8/12/2018,29,In,2:15
194787_fa7912bf,8/12/2018,30,In,2:14
194786_a51c3165,8/12/2018,30,In,2:14
194783_20c2e2e8,8/12/2018,35,Out,2:14
194782_f0a715a3,8/12/2018,35,Out,2:14
194779_d3719fa9,8/12/2018,30,In,2:13
194778_f9cc9eeb,8/12/2018,30,In,2:12
194775_84a5ca0c,8/12/2018,35,Out,2:12
194774_1f7f4fd1,8/12/2018,35,Out,2:12
194766_fd5bd51c,8/12/2018,29,In,2:09
194767_6d3b6b50,8/12/2018,29,In,2:09
194761_b46e698e,8/12/2018,35,Out,2:08
194760_18dcd624,8/12/2018,35,Out,2:08
194758_bc93a32f,8/12/2018,29,In,2:07
194759_e4d1bf69,8/12/2018,29,In,2:07
194755_db2957e5,8/12/2018,36,Out,2:06
194754_e9239422,8/12/2018,36,Out,2:06
194753_206b3eae,8/12/2018,29,In,2:05
194752_7e1f65fd,8/12/2018,29,In,2:05
194749_d8eb7a5a,8/12/2018,35,Out,2:04
194748_a3bf9575,8/12/2018,35,Out,2:04
194747_a50ea5a6,8/12/2018,29,In,2:03
194746_dc20cecb,8/12/2018,29,In,2:03
194744_9e28b472,8/12/2018,35,Out,2:02
194745_8e6054de,8/12/2018,35,Out,2:02
194740_a4f71d26,8/12/2018,29,In,1:59
194741_366646bc,8/12/2018,29,In,1:59
194735_f41883b1,8/12/2018,29,In,1:57
194734_8742440e,8/12/2018,29,In,1:57
194731_781e3b41,8/12/2018,35,Out,1:56
194730_744a4ce7,8/12/2018,35,Out,1:56
194728_6a1e0ee3,8/12/2018,29,In,1:55
194729_1eec1b7d,8/12/2018,29,In,1:55
194723_e4447603,8/12/2018,35,Out,1:54
194722_6a550b4a,8/12/2018,35,Out,1:54
194718_841324c9,8/12/2018,29,In,1:53
194719_725c05d9,8/12/2018,29,In,1:53
194713_091484a2,8/12/2018,35,Out,1:52
194712_f3ad7d14,8/12/2018,35,Out,1:52
194708_c722997f,8/12/2018,29,In,1:51
194709_dd56f0e9,8/12/2018,29,In,1:51
194705_11c47478,8/12/2018,36,Out,1:50
194704_4357ef84,8/12/2018,36,Out,1:50
194689_b98e94f7,8/12/2018,29,In,1:45
194688_9b31138b,8/12/2018,29,In,1:45
194684_fd8e1317,8/12/2018,29,In,1:43
194685_3cee0a5a,8/12/2018,29,In,1:43
194674_44bb4091,8/12/2018,30,In,1:40
194675_8e828f31,8/12/2018,30,In,1:40
194669_28678a52,8/12/2018,29,In,1:39
194668_ce03abbd,8/12/2018,29,In,1:39
194666_80bbf90a,8/12/2018,30,In,1:38
194667_ea59dc92,8/12/2018,30,In,1:38
194663_3e0f66ee,8/12/2018,29,In,1:37
194662_6858b0fd,8/12/2018,29,In,1:37
194658_0ae57208,8/12/2018,30,In,1:36
194660_5a2f0ab5,8/12/2018,30,In,1:36
194653_3463cc19,8/12/2018,30,In,1:34
194652_150516ad,8/12/2018,30,In,1:34
194645_ae5ccd94,8/12/2018,29,In,1:31
194644_14d79e2d,8/12/2018,29,In,1:31
194636_98543f68,8/12/2018,29,In,1:29
194637_c072f958,8/12/2018,29,In,1:29
194633_5d766573,8/12/2018,30,In,1:28
194632_8719c8fa,8/12/2018,30,In,1:28
194623_4cf3d43c,8/12/2018,36,Out,1:24
194622_092027ed,8/12/2018,36,Out,1:24
194620_36c5cbf7,8/12/2018,29,In,1:23
194621_c61ccc01,8/12/2018,29,In,1:23
194614_a2220c42,8/12/2018,29,In,1:21
194615_9d25275c,8/12/2018,29,In,1:21
194611_e0e3fe67,8/12/2018,36,Out,1:20
194610_93492a6b,8/12/2018,36,Out,1:20
194607_46a04987,8/12/2018,29,In,1:19
194606_052b8799,8/12/2018,29,In,1:19
194597_5253a483,8/12/2018,29,In,1:17
194596_84596206,8/12/2018,29,In,1:17
194592_2dfb92f0,8/12/2018,29,In,1:15
194593_68d9c59e,8/12/2018,29,In,1:15
194579_ee7e99d7,8/12/2018,29,In,1:09
194578_f915bc76,8/12/2018,29,In,1:09
194563_36005663,8/12/2018,29,In,1:03
194562_8f38cf3d,8/12/2018,29,In,1:03
194555_e0289275,8/12/2018,29,In,0:59
194554_090b5d40,8/12/2018,29,In,0:59
194545_59d3430e,8/12/2018,36,Out,0:56
194544_1ec7c1c1,8/12/2018,36,Out,0:56
194541_d492268d,8/12/2018,29,In,0:55
194540_7829dad5,8/12/2018,29,In,0:55
194531_bb5a0ac0,8/12/2018,29,In,0:49
194530_60460764,8/12/2018,29,In,0:49
194527_92f0ddf8,8/12/2018,36,Out,0:48
194526_7c2ee290,8/12/2018,36,Out,0:48
194525_f34df9ae,8/12/2018,29,In,0:47
194524_5ddbb084,8/12/2018,29,In,0:47
194518_909c67b8,8/12/2018,29,In,0:43
194519_d1fcf870,8/12/2018,29,In,0:43
194517_ecf9e9df,8/12/2018,36,Out,0:42
194516_6ea0a47c,8/12/2018,36,Out,0:42
194513_239deb28,8/12/2018,29,In,0:41
194512_f1622e46,8/12/2018,29,In,0:41
194511_848fadb2,8/12/2018,29,In,0:39
194510_8ee37102,8/12/2018,29,In,0:39
194509_997505d6,8/12/2018,29,In,0:37
194508_2cc23aa9,8/12/2018,29,In,0:37
